frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"26","Mar 27, 2025 11:29:49.275104000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"27","Mar 27, 2025 11:29:49.275104000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"28","Mar 27, 2025 11:29:49.275127000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"29","Mar 27, 2025 11:29:49.275127000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"30","Mar 27, 2025 11:29:49.275127000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"31","Mar 27, 2025 11:29:49.275156000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"32","Mar 27, 2025 11:29:49.275156000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"33","Mar 27, 2025 11:29:49.275156000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"34","Mar 27, 2025 11:29:49.275178000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"35","Mar 27, 2025 11:29:49.275178000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"36","Mar 27, 2025 11:29:49.275178000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"37","Mar 27, 2025 11:29:49.275201000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"38","Mar 27, 2025 11:29:49.275201000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"39","Mar 27, 2025 11:29:49.275201000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"40","Mar 27, 2025 11:29:49.275217000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"41","Mar 27, 2025 11:29:49.275217000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"42","Mar 27, 2025 11:29:49.275217000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"43","Mar 27, 2025 11:29:49.275234000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"44","Mar 27, 2025 11:29:49.275234000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"45","Mar 27, 2025 11:29:49.275234000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"46","Mar 27, 2025 11:29:49.275251000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
